BLKGRPCE,GEOID,NAMELSAD
1,484391115571,Block Group 1
1,484391115591,Block Group 1
2,484391115572,Block Group 2
1,484391131201,Block Group 1
2,484391131162,Block Group 2
3,484391115143,Block Group 3
3,484391131103,Block Group 3
2,484391219052,Block Group 2
2,484391013022,Block Group 2
1,484391219061,Block Group 1
1,484391115341,Block Group 1
1,484391217021,Block Group 1
2,484391131092,Block Group 2
2,484391131042,Block Group 2
3,484391131043,Block Group 3
3,484391217033,Block Group 3
2,484391228022,Block Group 2
1,484391131041,Block Group 1
2,484391225002,Block Group 2
2,484391131022,Block Group 2
3,484391131023,Block Group 3
2,484391131152,Block Group 2
1,484391131071,Block Group 1
1,484391131081,Block Group 1
4,484391114024,Block Group 4
2,484391131082,Block Group 2
3,484391131083,Block Group 3
1,484391131091,Block Group 1
1,484391131101,Block Group 1
1,484391228011,Block Group 1
1,484391221001,Block Group 1
2,484391221002,Block Group 2
3,484391221003,Block Group 3
5,484391221005,Block Group 5
4,484391221004,Block Group 4
1,484391222001,Block Group 1
2,484391222002,Block Group 2
1,484391223001,Block Group 1
2,484391223002,Block Group 2
2,484391114022,Block Group 2
1,484391115051,Block Group 1
2,484391115052,Block Group 2
1,484391115141,Block Group 1
2,484391115162,Block Group 2
2,484391115262,Block Group 2
1,484391115521,Block Group 1
2,484391115522,Block Group 2
3,484391115523,Block Group 3
1,484391115291,Block Group 1
2,484391115292,Block Group 2
1,484391115311,Block Group 1
2,484391115312,Block Group 2
1,484391115331,Block Group 1
2,484391115332,Block Group 2
2,484391115342,Block Group 2
3,484391115343,Block Group 3
2,484391216052,Block Group 2
2,484391216062,Block Group 2
1,484391216081,Block Group 1
2,484391216082,Block Group 2
4,484391216084,Block Group 4
1,484391216051,Block Group 1
1,484391114071,Block Group 1
2,484391115442,Block Group 2
1,484391131021,Block Group 1
1,484391216061,Block Group 1
3,484391115443,Block Group 3
4,484391115444,Block Group 4
4,484391219054,Block Group 4
2,484391217032,Block Group 2
1,484391216111,Block Group 1
2,484391228012,Block Group 2
2,484391131072,Block Group 2
3,484391216053,Block Group 3
2,484391217042,Block Group 2
1,484391228021,Block Group 1
1,484391219051,Block Group 1
1,484391114091,Block Group 1
2,484391114072,Block Group 2
3,484391115163,Block Group 3
3,484391219053,Block Group 3
3,484391114023,Block Group 3
1,484391131161,Block Group 1
3,484391216083,Block Group 3
1,484391115401,Block Group 1
1,484391216101,Block Group 1
2,484391216102,Block Group 2
2,484391216112,Block Group 2
3,484391216113,Block Group 3
4,484391216114,Block Group 4
2,484391131102,Block Group 2
1,484391115411,Block Group 1
2,484391115412,Block Group 2
1,484391115421,Block Group 1
2,484391115422,Block Group 2
1,484391115431,Block Group 1
2,484391115432,Block Group 2
1,484391115441,Block Group 1
1,484391115451,Block Group 1
2,484391217022,Block Group 2
1,484391217031,Block Group 1
1,484391217041,Block Group 1
2,484391115452,Block Group 2
1,484391225001,Block Group 1
3,484391225003,Block Group 3
1,484391226001,Block Group 1
2,484391226002,Block Group 2
2,484391114092,Block Group 2
2,484391227022,Block Group 2
3,484391115403,Block Group 3
1,484391131151,Block Group 1
4,484391131024,Block Group 4
1,484391227011,Block Group 1
2,484391219062,Block Group 2
3,484391216123,Block Group 3
3,484391224023,Block Group 3
2,484391224022,Block Group 2
1,484391131181,Block Group 1
2,484391131172,Block Group 2
1,484391216131,Block Group 1
2,484391216142,Block Group 2
2,484391216152,Block Group 2
2,484391224012,Block Group 2
1,484391224011,Block Group 1
1,484391227021,Block Group 1
4,484391115164,Block Group 4
2,484391113152,Block Group 2
